Date,NIFTY 50,SENSEX,NIFTY Midcap 100,NIFTY Smallcap 100,Gold (Rs/10g),USD/INR
2024-01-02,21710.8,71970.4,42580.2,12850.6,62500,83.12
2024-01-15,21850.5,72340.2,43120.8,13150.4,62800,83.05
2024-02-01,21520.3,71250.8,42080.5,12680.2,63200,83.18
2024-02-15,21980.6,72890.5,43580.3,13420.8,63500,82.95
2024-03-01,22150.2,73420.8,44250.6,13850.5,64200,82.78
2024-03-15,22380.5,74050.2,44850.3,14120.6,64800,82.65
2024-04-01,22620.8,74580.6,45320.2,14480.3,65500,83.25
2024-04-15,22450.3,73980.5,44980.8,14250.5,66200,83.42
2024-05-01,22850.6,75120.3,45680.5,14720.2,67500,83.55
2024-05-15,23120.2,75850.8,46250.3,15050.8,68200,83.38
2024-06-01,23450.5,76580.5,46850.6,15420.5,69500,83.22
2024-06-15,23680.3,77250.2,47320.2,15680.3,70200,83.45
2024-07-01,24050.8,78120.8,47980.5,16150.6,71500,83.68
2024-07-15,24280.5,78650.3,48450.3,16480.2,72800,83.52
2024-08-01,24520.2,79180.6,48920.8,16850.5,73500,83.85
2024-08-15,24150.8,78520.2,48250.5,16320.8,74200,84.02
2024-09-01,24680.5,79850.5,49150.2,16980.3,75500,83.75
2024-09-15,24950.3,80450.8,49680.8,17350.6,76200,83.58
2024-10-01,25280.6,81250.3,50320.5,17820.2,77800,83.92
2024-10-15,25520.2,81850.6,50850.3,18150.5,78500,84.15
2024-11-01,25850.5,82580.2,51420.8,18580.8,79200,84.28
2024-11-15,26120.8,83250.5,52050.6,19020.3,80500,84.05
2024-12-01,26450.3,83980.8,52680.2,19450.6,81200,84.38
2024-12-15,26680.5,84520.3,53150.5,19820.2,82500,84.52
