date,region,item,amount,units
2025-07-12,Asia,Finlandia Tee,108.25,4
2025-09-01,Asia,Sauna Robe,148.49,5
2025-02-12,Asia,Nordic Knit Sweater,66.14,3
2025-08-22,Asia,Nordic Knit Sweater,101.78,1
2025-02-01,Asia,Helsinki Hoodie,106.45,2
2025-04-09,Asia,Midnight Sun Parka,125.58,4
2025-11-11,Asia,Nordic Knit Sweater,66.94,4
2025-08-04,Asia,Helsinki Hoodie,105.04,1
2025-11-09,Asia,Nordic Knit Sweater,148.52,3
2025-04-26,Asia,Helsinki Hoodie,54.57,5
2025-10-25,Asia,Finlandia Tee,99.03,3
2025-09-17,Asia,Finlandia Tee,61.47,3
2025-09-12,Asia,Finlandia Tee,114.73,3
2025-06-01,Asia,Sauna Robe,107.13,2
2025-12-08,Asia,Midnight Sun Parka,116.36,2
2025-04-11,Asia,Finlandia Tee,116.51,1
2025-08-18,Asia,Midnight Sun Parka,55.83,1
2025-03-17,Asia,Nordic Knit Sweater,91.27,4
2025-08-20,Asia,Midnight Sun Parka,130.91,1
2025-07-28,Asia,Nordic Knit Sweater,105.83,2
2025-10-19,Asia,Helsinki Hoodie,89.05,5
2025-01-05,Asia,Helsinki Hoodie,117.11,1
2025-08-02,Asia,Finlandia Tee,62.95,4
2025-06-05,Asia,Helsinki Hoodie,140.84,2
2025-04-02,Asia,Sauna Robe,80.13,5
2025-03-07,Asia,Helsinki Hoodie,92.94,1
2025-08-26,Asia,Nordic Knit Sweater,136.62,4
2025-08-14,Asia,Nordic Knit Sweater,88.40,5
2025-12-04,Asia,Helsinki Hoodie,92.91,4
2025-03-22,Asia,Sauna Robe,106.30,2
2025-05-25,Asia,Nordic Knit Sweater,141.35,1
2025-01-12,Asia,Sauna Robe,52.39,4
2025-11-14,Asia,Helsinki Hoodie,81.94,1
2025-01-12,Asia,Midnight Sun Parka,65.28,2
2025-04-02,Asia,Nordic Knit Sweater,91.74,4
2025-07-19,Asia,Finlandia Tee,145.24,2
2025-05-25,Asia,Finlandia Tee,62.67,2
2025-02-23,Asia,Helsinki Hoodie,143.26,4
2025-05-04,Asia,Helsinki Hoodie,95.50,4
2025-08-13,Asia,Finlandia Tee,82.07,2
2025-06-03,Asia,Finlandia Tee,142.67,2
2025-04-16,Asia,Helsinki Hoodie,115.32,3
2025-08-12,Asia,Finlandia Tee,50.04,5
2025-04-23,Asia,Midnight Sun Parka,70.28,3
2025-06-08,Asia,Midnight Sun Parka,94.41,2
2025-07-26,Asia,Finlandia Tee,100.57,1
2025-06-09,Asia,Finlandia Tee,51.35,2
2025-01-02,Asia,Helsinki Hoodie,126.55,4
2025-04-19,Asia,Helsinki Hoodie,123.84,5
2025-01-12,Asia,Finlandia Tee,134.57,5
