date,region,item,amount,units
2025-12-25,Finland,Nordic Knit Sweater,118.39,3
2025-04-22,Finland,Sauna Robe,83.53,5
2025-04-13,Finland,Sauna Robe,100.57,2
2025-01-26,Finland,Nordic Knit Sweater,116.77,3
2025-05-05,Finland,Nordic Knit Sweater,93.76,1
2025-12-11,Finland,Helsinki Hoodie,148.05,2
2025-08-11,Finland,Nordic Knit Sweater,110.65,3
2025-03-03,Finland,Sauna Robe,112.76,4
2025-01-14,Finland,Midnight Sun Parka,121.89,2
2025-12-01,Finland,Midnight Sun Parka,140.34,4
2025-04-02,Finland,Helsinki Hoodie,143.06,5
2025-04-12,Finland,Nordic Knit Sweater,61.25,1
2025-09-11,Finland,Sauna Robe,93.59,2
2025-09-27,Finland,Sauna Robe,122.58,2
2025-08-28,Finland,Midnight Sun Parka,51.44,2
2025-03-09,Finland,Midnight Sun Parka,105.82,5
2025-11-12,Finland,Nordic Knit Sweater,68.86,2
2025-11-03,Finland,Helsinki Hoodie,78.85,2
2025-08-27,Finland,Finlandia Tee,97.35,3
2025-02-22,Finland,Nordic Knit Sweater,55.92,2
2025-03-23,Finland,Midnight Sun Parka,51.33,2
2025-10-13,Finland,Nordic Knit Sweater,88.39,1
2025-01-26,Finland,Midnight Sun Parka,133.98,4
2025-12-15,Finland,Finlandia Tee,133.05,1
2025-04-15,Finland,Midnight Sun Parka,134.85,4
2025-02-27,Finland,Helsinki Hoodie,135.43,4
2025-08-23,Finland,Nordic Knit Sweater,59.98,1
2025-03-20,Finland,Helsinki Hoodie,73.96,5
2025-07-16,Finland,Finlandia Tee,94.48,4
2025-10-27,Finland,Finlandia Tee,51.54,2
2025-01-28,Finland,Finlandia Tee,88.00,4
2025-03-27,Finland,Sauna Robe,73.61,5
2025-04-04,Finland,Sauna Robe,68.39,5
2025-05-03,Finland,Helsinki Hoodie,82.48,1
2025-03-21,Finland,Helsinki Hoodie,145.25,5
2025-11-02,Finland,Helsinki Hoodie,147.44,2
2025-02-07,Finland,Nordic Knit Sweater,86.87,5
2025-08-10,Finland,Sauna Robe,115.72,2
2025-04-24,Finland,Finlandia Tee,85.70,2
2025-04-17,Finland,Finlandia Tee,123.52,3
2025-08-28,Finland,Sauna Robe,103.20,1
2025-03-13,Finland,Helsinki Hoodie,73.77,3
2025-11-03,Finland,Midnight Sun Parka,135.70,3
2025-06-08,Finland,Helsinki Hoodie,116.67,5
2025-05-19,Finland,Midnight Sun Parka,66.45,3
2025-06-16,Finland,Sauna Robe,121.44,3
2025-10-18,Finland,Nordic Knit Sweater,130.46,3
2025-04-08,Finland,Sauna Robe,88.74,2
2025-05-09,Finland,Finlandia Tee,118.90,1
2025-04-14,Finland,Nordic Knit Sweater,51.71,4
