date,region,item,amount,units
2025-02-01,UK,Midnight Sun Parka,91.26,1
2025-04-26,UK,Sauna Robe,68.38,1
2025-08-08,UK,Helsinki Hoodie,103.69,5
2025-12-01,UK,Finlandia Tee,149.48,3
2025-09-27,UK,Sauna Robe,118.29,5
2025-07-19,UK,Helsinki Hoodie,143.63,4
2025-07-09,UK,Nordic Knit Sweater,98.52,1
2025-12-07,UK,Midnight Sun Parka,147.17,1
2025-05-18,UK,Midnight Sun Parka,147.39,1
2025-12-11,UK,Finlandia Tee,60.16,1
2025-01-05,UK,Sauna Robe,115.28,2
2025-11-22,UK,Midnight Sun Parka,141.58,2
2025-07-06,UK,Nordic Knit Sweater,134.62,4
2025-06-14,UK,Finlandia Tee,68.40,3
2025-05-14,UK,Helsinki Hoodie,107.02,2
2025-11-07,UK,Finlandia Tee,113.38,2
2025-02-02,UK,Finlandia Tee,121.05,4
2025-12-14,UK,Nordic Knit Sweater,55.39,2
2025-04-19,UK,Nordic Knit Sweater,64.60,4
2025-10-23,UK,Midnight Sun Parka,62.23,5
2025-08-21,UK,Helsinki Hoodie,88.18,2
2025-12-12,UK,Nordic Knit Sweater,82.99,5
2025-09-14,UK,Finlandia Tee,120.73,3
2025-02-20,UK,Nordic Knit Sweater,144.25,2
2025-04-14,UK,Helsinki Hoodie,86.27,4
2025-10-24,UK,Nordic Knit Sweater,91.26,4
2025-02-28,UK,Helsinki Hoodie,142.98,2
2025-08-22,UK,Sauna Robe,50.32,1
2025-05-08,UK,Finlandia Tee,89.57,4
2025-04-17,UK,Finlandia Tee,127.55,4
2025-06-08,UK,Nordic Knit Sweater,90.40,1
2025-05-03,UK,Helsinki Hoodie,98.45,2
2025-10-25,UK,Sauna Robe,103.24,5
2025-08-18,UK,Nordic Knit Sweater,67.05,1
2025-03-10,UK,Finlandia Tee,93.14,2
2025-01-06,UK,Finlandia Tee,120.33,3
2025-04-02,UK,Midnight Sun Parka,149.86,4
2025-08-07,UK,Midnight Sun Parka,75.91,5
2025-06-24,UK,Helsinki Hoodie,89.29,2
2025-05-02,UK,Finlandia Tee,143.80,2
2025-01-19,UK,Nordic Knit Sweater,61.25,3
2025-03-01,UK,Sauna Robe,137.85,3
2025-02-06,UK,Finlandia Tee,101.16,2
2025-10-20,UK,Sauna Robe,131.68,2
2025-04-19,UK,Finlandia Tee,92.46,1
2025-12-17,UK,Nordic Knit Sweater,89.82,3
2025-10-01,UK,Sauna Robe,74.38,4
2025-10-11,UK,Sauna Robe,136.59,1
2025-09-15,UK,Nordic Knit Sweater,123.63,3
2025-10-27,UK,Sauna Robe,53.78,3
